stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
slag	slag	slag	1	8,9357031355	53,6020151842	116,903096012	5	351	w	
small-	small-	small-|&|Small-	1	4,9642795197	32,3147785068	166,139552527	3	166	w	
smart	Smart	Smart	1	5,9571354237	35,7346767894	233,608015546	12	625	w	
societi	society	society|&|Society|&|societies|&|Societies	1	141,978394265	412,81521935	293,710134763	164	8570	w	
softwar	software	software|&|Software|&|SOFTWARE	1	58,578498333	222,680872189	225,997633375	58	3131	w	
solar	Solar	Solar	1	4,9642795197	32,3147785068	179,051440332	3	170	w	
solut	solutions	solutions|&|solution|&|Solutions	1	123,11413209	374,725439242	166,282425087	122	6953	w	
solvent	solvents	solvents	1	5,9571354237	37,0639731435	128,598271317	4	234	w	
space	space	space|&|spaces|&|Space|&|Spaces	1	67,5142014685	252,291874109	295,912934915	63	3358	w	
specialist	specialists	specialists|&|specialist|&|Specialists	1	4,9642795197	30,8866442863	127,05559867	4	185	w	
spectrum	spectrum	spectrum	1	10,9214149434	65,513574114	116,075867143	5	273	w	
spiritu	spirituality	spirituality|&|Spirituality	1	5,9571354237	41,1931447667	104,901943005	2	230	w	
spite	spite	spite|&|SPITE	1	9,9285590395	54,8913358673	106,950509816	8	387	w	
sprawl	sprawl	sprawl	1	4,9642795197	30,8866442863	192,628414085	5	259	w	
spread	spread	spread	1	9,9285590395	52,6758419438	187,413771603	14	553	w	
stabil	stability	stability|&|stabilization	1	7,9428472316	44,9736881461	116,486991895	7	349	w	
staff	staff	staff	1	21,8428298869	104,296429655	222,67584506	17	921	w	
stage	stage	stage|&|stages	1	61,5570660448	225,103632151	371,89384075	93	5371	w	
stakehold	stakeholders	stakeholders|&|stakeholder	1	35,7428125422	150,365537907	206,321249109	44	2691	w	
standard	standards	standards|&|standardization|&|Standards|&|Standard	1	37,7285243501	151,840455607	124,160693507	46	2570	w	
state	state	state|&|States|&|states|&|State	1	51,6285070053	198,60826219	145,114299714	99	5916	w	
statist	statistics	statistics|&|Statistics	1	8,9357031355	48,3497280396	128,373173707	9	587	w	
statu	status	status	1	28,7928212145	124,161420916	133,586872679	31	1523	w	
steel	steel	steel|&|Steel	1	45,6713715817	196,945702142	381,848633091	39	2507	w	
stock	stock	stock|&|stocks|&|Stocks|&|Stock	1	63,5427778527	252,295712224	702,779520132	51	3213	w	
storag	storage	storage|&|Storage	1	33,7571007343	154,052208924	235,59937565	25	1677	w	
store	store	store	1	5,9571354237	34,648562585	119,020254269	6	376	w	
strain	strain	strain	1	9,9285590395	57,7476043083	310,060391119	7	270	w	
strateg	Strategic	Strategic	1	4,9642795197	29,7788973245	131,235560488	5	276	w	
strategi	strategies	strategies|&|strategy|&|Strategy|&|Strategies	1	177,721206807	477,730824692	155,134877567	193	10814	w	
stream	streams	streams|&|stream	1	5,9571354237	34,648562585	139,788825073	17	1139	w	
stress	stress	stress|&|stresses|&|Stress	1	45,6713715817	189,186180101	422,857279381	37	1550	w	
structur	structure	structure|&|structures|&|structuration|&|Structure	1	95,3141667791	317,530194511	126,075913179	89	4643	w	
student	students	students|&|student|&|Students	1	50,6356511014	224,316864379	198,664318512	28	1288	w	
style	style	style|&|styles|&|STYLES	1	14,8928385592	77,5943237948	198,344445643	15	743	w	
subject	subject	subject|&|subjects|&|subjectivity|&|Subject|&|subjectivities|&|Subjects	1	45,6713715817	180,151207069	112,184817038	41	2018	w	
subordin	subordinates	subordinates|&|Subordinates	1	4,9642795197	30,8866442863	156,219119968	4	194	w	
substanc	substance	substance|&|substances|&|Substance	1	12,9071267513	67,2484139555	434,804003909	36	2273	w	
substitut	substitution	substitution|&|substitute|&|Substitution|&|substitutes	1	45,6713715817	190,636186699	117,946841475	33	2118	w	
subsystem	subsystems	subsystems|&|subsystem	1	7,9428472316	46,1980834466	133,281513726	6	334	w	
success	success	success|&|Success|&|successes	1	27,7999653106	120,929172417	176,899720998	33	1591	w	
suggest	suggestions	suggestions|&|Suggestions|&|suggestion	1	16,8785503671	80,5926956427	195,082845489	17	688	w	
sum	sum	sum|&|sums	1	5,9571354237	34,648562585	120,943703874	6	304	w	
supervisor	supervisors	supervisors|&|supervisor	1	20,8499739829	105,148979994	415,517639052	13	545	w	
supplier	suppliers	suppliers|&|supplier	1	4,9642795197	29,7788973245	129,693611774	6	444	w	
support	support	support|&|Support|&|SUPPORT	1	150,9140974	421,938890028	372,645305477	182	9497	w	
surfac	surface	surface|&|Surface	1	12,9071267513	67,2484139555	138,899864176	18	1143	w	
surveil	surveillance	surveillance|&|Surveillance	1	9,9285590395	61,7732885726	328,502491122	4	122	w	
survey	survey	survey|&|surveys|&|Survey	1	102,264158107	326,144083461	576,004971247	108	5502	w	
switch	switches	switches|&|switch	1	5,9571354237	37,0639731435	120,559322478	4	211	w	
symptom	symptoms	symptoms|&|symptom	1	7,9428472316	43,9130686939	296,851157424	9	388	w	
synergi	synergy	synergy|&|synergies|&|Synergy	1	21,8428298869	105,620642957	116,161881772	17	1090	w	
synthesi	synthesis	synthesis|&|Synthesis	1	14,8928385592	76,2984774045	128,068776389	12	638	w	
system	system	system|&|systems|&|System|&|Systems|&|SYSTEM|&|SYSTEMS	1	518,270781861	960,008508687	175,047698524	485	26902	w	
ta	TA	TA|&|ta	1	4,9642795197	32,3147785068	129,447373188	3	142	w	
tabl	table	table|&|tables|&|Table	1	13,8999826553	73,7461787213	163,960119472	17	1131	w	
taiwan	Taiwan	Taiwan|&|taiwan	1	8,9357031355	51,9728438774	139,35390783	6	320	w	
take-back	take-back	take-back	1	4,9642795197	30,8866442863	141,329080336	4	251	w	
target	targets	targets|&|target	1	32,7642448303	141,287134146	124,618863057	36	2323	w	
task	task	task|&|tasks|&|Task|&|Tasks	1	58,578498333	221,393380838	261,70437349	57	2810	w	
taxonomi	taxonomy	taxonomy|&|TAXONOMY	1	13,8999826553	76,8478702142	187,814543642	8	358	w	
teacher	teachers	teachers	1	5,9571354237	34,648562585	163,829124124	6	205	w	
team	teams	teams|&|team|&|Teams|&|Team	1	35,7428125422	154,131419068	307,483884488	44	1969	w	
techniqu	techniques	techniques|&|technique	1	66,5213455646	240,746613473	155,416630101	68	3553	w	
techno-econom	techno-economic	techno-economic	1	6,9499913276	41,6904562543	129,479061289	5	207	w	
technolog	technology	technology|&|technologies|&|Technology|&|Technologies|&|TECHNOLOGY	1	339,556719151	712,622206109	1177,75328189	462	23393	w	
telecommun	telecommunications	telecommunications|&|telecommunication|&|Telecommunications|&|Telecommunication	1	47,6570833896	187,983868246	321,972667388	49	2295	w	
telephon	telephone	telephone	1	9,9285590395	53,721920044	141,664674799	9	477	w	
temperatur	temperature	temperature|&|temperatures	1	9,9285590395	54,8913358673	160,906371229	8	450	w	
tendenc	tendency	tendency|&|tendencies	1	9,9285590395	52,6758419438	155,837797608	10	553	w	
tension	tensions	tensions|&|tension	1	8,9357031355	49,4022022806	156,937630973	8	416	w	
term	terms	terms|&|term	1	141,978394265	395,806037369	125,454195014	150	9037	w	
territori	territories	territories|&|territory	1	10,9214149434	65,513574114	126,2515282	5	245	w	
test	test	test|&|tests	1	34,7499566382	145,049272489	108,995866257	37	1786	w	
thank	thanks	thanks|&|Thanks	1	4,9642795197	29,7788973245	141,692517038	5	341	w	
theme	theme	theme|&|themes	1	14,8928385592	75,1064142813	130,807011524	13	790	w	
background theoret	theoretical background	theoretical background	2	4,7209181291	28,5563577056	109,820347569	3	155	w	
basi theoret	theoretical basis	theoretical basis	2	6,2945575055	36,2643122592	184,633175967	4	267	w	
framework theoret	theoretical framework	theoretical framework|&|Theoretical framework	2	14,1627543874	70,1096971055	185,453300752	9	438	w	
theori	theory	theory|&|theories|&|Theory	1	59,5713542369	218,998986333	270,884699474	82	4197	w	
thing	things	things|&|Things	1	6,9499913276	40,4233230158	134,040384059	14	703	w	
third	Third	Third	1	7,9428472316	43,9130686939	111,506063705	8	440	w	
throughput	throughput	throughput|&|Throughput	1	8,9357031355	49,4022022806	159,432446772	15	872	w	
tie	ties	ties|&|tie	1	4,9642795197	29,7788973245	177,015177627	5	289	w	
time	time	time|&|times|&|Time|&|Times|&|TIME	1	252,185399603	581,228659714	258,500946807	247	13210	w	
tire	tires	tires|&|tire	1	7,9428472316	49,418630858	156,831927106	6	414	w	
tmr	TMR	TMR	1	7,9428472316	54,9241930222	173,595204938	2	137	w	
today	today	today|&|Today	1	45,6713715817	176,766594336	113,817724904	42	2282	w	
tonn	tonnes	tonnes	1	13,8999826553	75,2106880615	260,669503299	13	893	w	
ton	tons	tons|&|ton	1	4,9642795197	30,8866442863	236,793673335	18	1232	w	
tool	tools	tools|&|tool|&|Tools|&|Tool|&|TOOLS	1	227,364002004	590,563649162	332,612607105	201	11323	w	
topic	topic	topic|&|topics	1	35,7428125422	148,058749645	234,348815306	32	1693	w	
toward	Towards	Towards	1	7,9428472316	43,9130686939	117,984225821	10	625	w	
traci	TRACI	TRACI	1	5,9571354237	41,1931447667	107,07766348	2	155	w	
trade	trade	trade|&|Trade|&|trades|&|TRADES	1	45,6713715817	190,636186699	372,268767967	42	2550	w	
trade-off	trade-offs	trade-offs|&|trade-off|&|Trade-off	1	19,857118079	97,300315359	216,437075226	15	852	w	
traffic	traffic	traffic|&|Traffic	1	28,7928212145	134,279157447	135,328361723	21	1230	w	
train	train	train|&|trains	1	9,9285590395	57,7476043083	146,097933113	6	300	w	
transfer	transfer	transfer|&|transfers|&|Transfer	1	16,8785503671	82,7052680552	106,073601237	24	1474	w	
transform	transformation	transformation|&|transformations|&|transformer|&|transformers|&|transformative|&|Transformation|&|transformity|&|TRANSFORMER|&|TRANSFORMATIONS	1	49,6427951974	205,637152284	147,730811497	39	2115	w	
transit	transition	transition|&|transitions|&|Transition|&|transit	1	66,5213455646	257,464387402	108,105360254	49	3079	w	
translat	translation	translation|&|translators|&|Translation	1	13,8999826553	83,3809125087	163,967608121	5	227	w	
transmiss	transmission	transmission	1	10,9214149434	59,0941120483	139,016434576	9	431	w	
transport	transportation	transportation|&|transport|&|Transport|&|Transportation|&|transports	1	150,9140974	454,696983913	288,738335429	121	7355	w	
travel	travel	travel|&|Travel|&|travellers|&|TRAVEL	1	59,5713542369	234,979835308	610,422734335	50	2453	w	
treatment	treatment	treatment|&|treatments	1	32,7642448303	141,287134146	192,725608021	51	3085	w	
trend	trends	trends|&|trend|&|Trends	1	90,3498872594	300,992163547	210,463926238	89	5116	w	
trip	trips	trips|&|trip	1	12,9071267513	68,478594527	300,398578065	12	559	w	
type	types	types|&|type	1	114,178428954	349,93147029	159,918809793	109	5810	w	
uncertainti	uncertainty	uncertainty|&|uncertainties|&|Uncertainty	1	56,5927865251	223,230843542	171,862617433	43	2820	w	
uniform	uniform	uniform	1	4,9642795197	30,8866442863	150,544904777	6	285	w	
union	Union	Union|&|union|&|unions	1	10,9214149434	59,0941120483	116,591854062	32	1865	w	
unit	unit	unit|&|units|&|Unit	1	50,6356511014	197,200549804	112,69361404	61	3628	w	
univers	University	University|&|university|&|universities|&|Universities	1	49,6427951974	197,106025175	191,041366438	47	2362	w	
urbanization	urbanization	urbanization|&|Urbanization	1	25,8142535027	117,804630354	334,874155159	30	2036	w	
urin	urine	urine|&|Urine	1	4,9642795197	32,3147785068	112,355520641	3	204	w	
usabl	usability	usability	1	4,9642795197	29,7788973245	142,122201013	5	289	w	
usag	usage	usage	1	31,7713889264	132,616477704	166,015093186	40	2189	w	
user	users	users|&|user|&|User	1	79,4284723159	281,782766611	224,476401134	69	3802	w	
utilis	utilisation	utilisation|&|utilise	1	6,9499913276	40,4233230158	104,749356937	8	523	w	
util	utilization	utilization|&|utility|&|utilities|&|Utility|&|Utilization	1	58,578498333	222,680872189	146,686952187	56	3125	w	
vacat	vacations	vacations|&|Vacations|&|Vacation	1	4,9642795197	34,3276206389	115,426963631	2	111	w	
valid	validation	validation|&|validity|&|validates	1	24,8213975987	109,959247244	162,595716691	24	1337	w	
valuat	valuation	valuation|&|valuate	1	12,9071267513	73,0822432374	135,753014291	7	325	w	
valu	value	value|&|values|&|Value	1	118,14985257	360,852725034	139,651277049	114	6306	w	
vapor	vapor	vapor	1	5,9571354237	35,7346767894	133,560093979	5	355	w	
variabl	variables	variables|&|variability	1	54,6070747172	212,667259593	177,102408581	44	2537	w	
variat	variations	variations|&|variation|&|Variation	1	26,8071094066	123,643500944	243,114057133	21	1196	w	
varieti	variety	variety	1	31,7713889264	131,607777462	114,370577145	42	2247	w	
veget	vegetable	vegetable|&|vegetation|&|vegetables	1	9,9285590395	57,7476043083	167,216614685	6	385	w	
vehicl	vehicle	vehicle|&|vehicles|&|Vehicles|&|Vehicle	1	47,6570833896	207,307152715	211,523749619	31	2006	w	
vessel	vessels	vessels	1	4,9642795197	34,3276206389	149,115071564	2	151	w	
vi	vi	vi	1	4,9642795197	29,7788973245	109,2761153	5	362	w	
viabil	viability	viability	1	4,9642795197	29,7788973245	108,563310198	5	258	w	
view	view	view|&|views|&|VIEWS|&|Views	1	69,4999132764	236,53458548	150,426333103	74	4007	w	
viewpoint	viewpoint	viewpoint	1	11,9142708474	62,0754590359	152,669908377	11	498	w	
villag	village	village|&|villages	1	5,9571354237	37,0639731435	220,697164303	4	138	w	
vision	vision	vision|&|visions|&|Vision|&|Visions	1	30,7785330224	139,027549123	171,029810687	30	1345	w	
volum	volume	volume|&|volumes	1	20,8499739829	97,2366312545	124,138796678	21	1347	w	
water	water	water|&|Water|&|waters|&|WATER	1	91,3427431633	313,642200386	214,464099973	103	6633	w	
way	way	way|&|ways|&|WAY|&|Ways	1	158,856944632	425,866637879	143,376921515	182	9554	w	
wealth	wealth	wealth	1	7,9428472316	44,9736881461	148,177482726	9	562	w	
web	web	web|&|Web|&|webs	1	25,8142535027	114,357617134	211,943698798	29	1508	w	
websit	websites	websites|&|website	1	6,9499913276	40,4233230158	134,408099555	6	324	w	
week	week	week|&|weeks	1	19,857118079	92,6063154804	373,61567418	19	857	w	
weight	weight	weight|&|weights	1	19,857118079	94,8149360502	166,21192378	21	1338	w	
welfar	welfare	welfare	1	4,9642795197	29,7788973245	123,477788104	5	337	w	
west	west	west	1	5,9571354237	38,7777342081	224,941788301	3	112	w	
whilst	whilst	whilst|&|Whilst	1	6,9499913276	39,3519771278	139,602552076	7	305	w	
wiley	Wiley	Wiley	1	12,9071267513	65,0922257105	120,298167983	16	876	w	
willing	willingness	willingness|&|Willingness	1	7,9428472316	43,9130686939	190,599372797	8	383	w	
win-win	win-win	win-win	1	6,9499913276	43,2413020008	113,439799613	4	261	w	
wind	wind	wind|&|Wind	1	9,9285590395	54,8913358673	167,360781347	11	710	w	
women	women	women|&|Women|&|WOMENS|&|WOMEN	1	60,5642101409	252,800160623	815,806247796	40	1360	w	
wood	wood	wood	1	20,8499739829	105,148979994	242,178007942	17	1178	w	
word	words	words	1	5,9571354237	37,0639731435	191,970852922	4	204	w	
work	work	work|&|Work|&|works	1	439,835165449	818,915462432	2467,72017864	430	18873	w	
workflow	workflow	workflow|&|workflows|&|Workflow	1	6,9499913276	40,4233230158	144,481638932	6	291	w	
workplac	workplace	workplace|&|workplaces|&|Workplace	1	90,3498872594	302,255818932	1328,90881893	78	3349	w	
workshop	workshop	workshop|&|Workshop	1	9,9285590395	61,7732885726	151,077494768	4	253	w	
world	world	world|&|World|&|worlds|&|WORLD	1	113,18557305	343,332727766	194,71816573	136	7356	w	
worldview	worldview	worldview|&|worldviews	1	4,9642795197	30,8866442863	148,622485544	4	226	w	
yogurt	yogurt	yogurt	1	7,9428472316	60,4297551864	123,988220124	1	51	w	
zandy,j	ZANDY,J	ZANDY,J	1	4,9642795197	29,7788973245	530,332716106	5	24	w	
zone	zones	zones|&|zone|&|Zone	1	11,9142708474	65,8696030408	213,449286027	10	547	w	
ahp	AHP	AHP|&|ahp	1	5,9571354237	37,0639731435	153,940882618	4	224	g ?	
dematerialis	dematerialisation	dematerialisation|&|Dematerialisation	1	34,7499566382	158,583156246	254,644261101	23	1209	g 	
eu	EU	EU|&|eu	1	36,7356684461	161,240062666	114,697679017	27	1835	g 	
european-union	european-union	european-union	1	5,9571354237	34,648562585	256,716278216	6	396	g 	
flextim	flextime	flextime	1	6,9499913276	45,2406899095	235,750624781	3	125	g 	
forestri	forestry	forestry|&|Forestry	1	4,9642795197	32,3147785068	150,917441667	3	197	g 	
globalis	globalisation	globalisation	1	6,9499913276	41,6904562543	148,644689822	5	314	g 	
dmi	DMI	DMI	1	15,8856944632	89,9473762922	485,873598676	7	420	g	
indian	Indian	Indian|&|indian	1	6,9499913276	40,4233230158	121,086013879	6	315	g	
lca	LCA	LCA|&|lca|&|LCAs	1	309,771042032	796,458395955	1742,38947513	159	9812	g	
lcc	LCC	LCC|&|lcc	1	10,9214149434	65,513574114	115,512776056	5	343	g	
metaanalysi	metaanalysis	metaanalysis	1	9,9285590395	52,6758419438	261,840020476	10	467	g	
msw	MSW	MSW|&|msw	1	11,9142708474	71,4693535789	117,34803353	5	367	g	municipal solid waste
np	NPs	NPs	1	8,9357031355	61,78971715	188,075351621	2	121	g	nanoparticles
nt	NT	NT	1	4,9642795197	37,7685969915	148,963674833	1	62	g	new tech
pc	PC	PC|&|PCs	1	8,9357031355	51,9728438774	141,045554341	6	443	g	
rmc	RMC	RMC	1	6,9499913276	45,2406899095	155,176823439	3	212	g	
sfa	sfa	sfa|&|SFA	1	20,8499739829	99,5556828528	421,829735094	17	1016	g	substance flow analysis
telecentr	telecentres	telecentres|&|telecentre	1	7,9428472316	49,418630858	183,164465233	4	150	g	
uha	UHA	UHA	1	4,9642795197	37,7685969915	130,031607532	1	72	g	urban harvest approach
uk	UK	UK|&|uk	1	53,6142188132	210,12445728	256,297395707	45	2298	g	
waste-wat	waste-water	Waste-water	1	4,9642795197	29,7788973245	184,267548188	5	308	g	
weee	WEEE	WEEE|&|weee	1	19,857118079	101,731303206	207,333222296	13	796	g	
wlb	WLB	WLB	1	8,9357031355	58,1666013122	248,7178588	3	138	g	
wsn	WSN	WSN|&|WSNs|&|wsn	1	7,9428472316	49,418630858	168,993226077	4	222	g	Wireless Sensor Networks
pv	PV	PV|&|PVs	1	17,8714062711	107,204030368	229,878985304	5	382	a ??	
