stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
autom home	home automation	home automation|&|Home Automation|&|HOME AUTOMATION	2	22,0309512693	111,65440115	160,293686209	19,0	870,0	 
citi mexico	Mexico City	Mexico City	2	6,29455750551	43,1795904865	179,024384543	2,0	138,0	 
winter	winter	winter|&|Winter	1	32,7642448303	158,430964435	182,281441774	32,0	2012,0	 
oslo	Oslo	Oslo	1	5,95713542369	39,4793837021	199,059295385	4,0	305,0	 
atmospher dispers factor	atmosphere dispersion factor	atmosphere dispersion factor	3	11,9142708474	78,9587674042	174,30547854	3,0	100,0	 
public transport use	public transportation use	public transportation use|&|use of public transportation|&|use public transportation	3	5,95713542369	37,0639731435	174,624241275	3,0	200,0	 
economi	economy	economy|&|economies|&|Economy|&|ECONOMY|&|Economies	1	165,806935959	512,93310444	479,949192159	248,0	13033,0	 
domest gross product	gross domestic product	gross domestic product	3	21,8428298869	107,521217662	283,596801666	11,0	614,0	 
commun local	local communities	local communities|&|local community	2	7,86819688189	46,7649322286	157,411755612	5,0	252,0	 
analysi compar	comparative analysis	comparative analysis|&|Comparative Analysis	2	17,3100331402	89,2346278655	177,588753862	11,0	631,0	 
carbon tax	carbon tax	carbon tax|&|carbon taxes|&|CARBON TAX|&|taxing carbon	2	26,7518693984	143,276377484	221,756919362	12,0	446,0	 
manag risk system	risk management system	risk management system	3	5,95713542369	37,0639731435	231,532612356	3,0	122,0	 
product	production	production|&|products|&|product|&|productivity|&|Production|&|Product|&|Products|&|PRODUCTION|&|productions|&|PRODUCTS|&|Productivity	1	777,406172792	1362,05108049	463,052289767	994,0	52372,0	 
chang global	global change	global change	2	12,589115011	68,9069618216	171,918652474	8,0	391,0	 
c&d	C&D	C&D	1	5,95713542369	43,6085553253	167,076402429	2,0	125,0	 
framework regulatori	regulatory framework	regulatory framework	2	6,29455750551	38,8165356986	195,186296697	4,0	256,0	 
energi primari	primary energy	primary energy	2	20,4573118929	103,679086782	160,912479528	13,0	782,0	 
levi	levy	levy|&|levies	1	7,94284723159	58,1447404337	158,035938298	2,0	111,0	 
care health servic	health care services	health care services	3	5,95713542369	39,4793837021	177,125071399	2,0	115,0	 
input n	N inputs	N inputs|&|N input	2	11,0154756347	63,4625464536	213,349329274	6,0	447,0	 
area urban	urban areas	urban areas|&|urban area	2	56,6510175496	237,123072309	295,463642732	32,0	1888,0	 
commut rail servic	commuter rail service	commuter rail service	3	5,95713542369	37,0639731435	215,190816743	3,0	130,0	 
harmon	harmonization	harmonization|&|Harmonization	1	10,9214149434	67,9506174298	155,918665033	6,0	392,0	 
classroom	classroom	classroom|&|classrooms|&|Classroom	1	22,8356857908	118,296250266	357,412875655	19,0	805,0	 
condit meteorolog	meteorological conditions	meteorological conditions	2	6,29455750551	38,8165356986	181,582905351	4,0	241,0	 
practic	practices	practices|&|practice|&|Practice|&|practicality|&|Practices|&|practicability|&|PRACTICE	1	206,514028021	594,293445204	269,120541761	244,0	13931,0	 
vanadium	vanadium	vanadium	1	10,9214149434	66,2670738916	346,425112427	10,0	381,0	 
ideolog	ideology	ideology	1	7,94284723159	50,8667831307	155,948818828	5,0	106,0	 
mn-ii	Mn-II	Mn-II	1	4,96427951974	34,3276206389	212,242373399	3,0	148,0	 
ghz	GHz	GHz	1	8,93570313554	54,2185150022	160,279603031	7,0	321,0	 
inform	information	information|&|Information|&|INFORMATION|&|informants	1	299,842482993	758,223791822	2962,10464735	575,0	27774,0	 
ghg	GHG	GHG|&|ghg|&|GHGs|&|ghgs	1	84,3927518357	318,956565614	1999,55629331	87,0	4512,0	 
odour	odour	odour|&|Odour	1	8,93570313554	59,2190755532	166,52808168	4,0	220,0	 
assess consequenti cycl life	consequential life cycle assessment	consequential life cycle assessment	4	9,92855903949	58,9170201316	304,921507873	4,0	131,0	 
basf	BASF	BASF	1	5,95713542369	41,1931447667	192,310570579	3,0	160,0	 
soil temperatur	soil temperature	soil temperature|&|soil temperatures	2	12,589115011	72,5286245184	339,640885655	6,0	415,0	 
soc	SOC	SOC|&|soc	1	14,8928385592	86,6214064624	180,064534488	9,0	565,0	 
copolym polypropylen	copolymer polypropylene	copolymer polypropylene	2	9,44183625827	60,9410505705	216,326658352	3,0	122,0	 
construct project	construction project	construction project|&|construction projects	2	11,0154756347	63,4625464536	452,184983412	7,0	226,0	 
nitrogen	nitrogen	nitrogen|&|Nitrogen|&|NITROGEN	1	82,4070400278	309,0970582	221,839253349	116,0	6060,0	 
america europ north	Europe and North America	Europe and North America|&|North America and Europe	4	9,92855903949	58,9170201316	170,641008291	4,0	231,0	 
burden environment	environmental burdens	environmental burdens|&|environmental burden	2	44,0619025386	192,767418785	235,070941118	24,0	1608,0	 
ecodesign method	ecodesign methods	ecodesign methods	2	6,29455750551	40,627367047	266,327065388	3,0	121,0	 
forest residu	forest residues	forest residues	2	9,44183625827	56,1179186744	175,709220036	5,0	305,0	 
hainan provinc	Hainan Province	Hainan Province	2	7,86819688189	53,9744881081	162,283274759	2,0	100,0	 
dynam molecular	molecular dynamics	molecular dynamics	2	6,29455750551	40,627367047	177,612467213	3,0	64,0	 
group	groups	groups|&|group|&|Group	1	187,649765846	567,284892494	172,76643271	212,0	11286,0	 
area non-urban	non-urban areas	non-urban areas	2	7,86819688189	53,9744881081	167,501849343	2,0	91,0	 
polici	policy	policy|&|policies|&|Policy|&|Policies|&|POLICY	1	309,771042032	779,498271943	439,992063638	512,0	25952,0	 
platform	platform	platform|&|platforms|&|Platform|&|Platforms	1	58,578498333	254,815041879	198,265015602	50,0	2491,0	 
lca studi	LCA studies	LCA studies	2	15,7363937638	88,2350048512	285,698787246	9,0	611,0	 
ssc	SSCs	SSCs|&|SSC	1	6,94999132764	48,0586688945	166,589321962	3,0	136,0	 
farmer	farmers	farmers|&|farmer|&|Farmers|&|FARMERS	1	40,7070920619	190,563445049	180,031194267	31,0	1854,0	 
co2 sequestr	CO2 sequestration	CO2 sequestration|&|co2 sequestration	2	9,44183625827	58,224803548	204,541246606	4,0	126,0	 
biofuel use	use of biofuels	use of biofuels	3	7,86819688189	48,5206696233	211,744605116	4,0	198,0	 
ict role	role of ICT	role of ICT|&|role that ICT	3	6,29455750551	38,8165356986	402,556754342	4,0	192,0	 
chain polymeras reaction	polymerase chain reaction	polymerase chain reaction	3	5,95713542369	37,0639731435	197,897169937	3,0	103,0	 
automobil	automobile	automobile|&|automobiles|&|Automobile	1	35,7428125422	164,858001259	226,637752691	37,0	1845,0	 
initi	initiatives	initiatives|&|initiative|&|Initiative|&|initiation|&|Initiatives	1	69,4999132764	274,739710635	241,434164151	75,0	4186,0	 
nation	Nations	Nations|&|nations|&|nation	1	34,7499566382	159,139167414	246,802118528	44,0	2622,0	 
treatment wastewat	wastewater treatment	wastewater treatment|&|Wastewater Treatment|&|treatment of wastewater	2	34,6200662803	156,082980423	641,887396282	33,0	1842,0	 
system transit	transit system	transit system|&|Transit System|&|transit systems	2	9,44183625827	56,1179186744	403,733004697	14,0	677,0	 
develop new product	development of new products	development of new products|&|new product development|&|new products development	4	9,92855903949	56,7015262081	166,899616851	5,0	274,0	 
nox	NOx	NOx|&|NOX	1	33,7571007343	158,028222724	236,030013007	34,0	2283,0	 
carbon intens	carbon intensity	carbon intensity	2	6,29455750551	38,8165356986	154,154266812	4,0	218,0	 
ecosystem marin	marine ecosystem	marine ecosystem	2	7,86819688189	48,5206696233	212,618135319	6,0	306,0	 
discuss	discussion	discussion|&|Discussion|&|discussions	1	80,4213282199	298,320682263	164,339509596	83,0	4845,0	 
develop ict	ICT development	ICT development|&|development of ICT|&|ict development|&|ict for development	2	12,589115011	68,9069618216	254,55531392	8,0	373,0	 
term	terms	terms|&|term	1	251,192543699	659,246183669	205,340227125	283,0	17346,0	 
anteced	antecedents	antecedents|&|antecedent|&|ANtecedents	1	9,92855903949	61,7732885726	182,135467295	6,0	311,0	 
flux ga greenhous	greenhouse gas fluxes	greenhouse gas fluxes	3	5,95713542369	39,4793837021	205,787639275	2,0	171,0	 
separ sourc	source separation	source separation	2	6,29455750551	40,627367047	160,231732929	3,0	153,0	 
emiss n2o	N2O emission	N2O emission|&|N2O emissions	2	15,7363937638	93,5298644573	208,127384642	5,0	381,0	 
domest output process	domestic processed output	domestic processed output	3	5,95713542369	37,0639731435	234,625376764	3,0	113,0	 
separ	separation	separation|&|separations|&|Separation	1	33,7571007343	160,529893005	161,312206765	40,0	2163,0	 
knowledg skill	knowledge and skills	knowledge and skills|&|skills and knowledge	3	7,86819688189	46,7649322286	202,627297526	5,0	309,0	 
inform revolut	information revolution	information revolution	2	6,29455750551	40,627367047	178,367399821	3,0	96,0	 
resili	resilience	resilience	1	16,8785503671	90,7134309608	156,545828743	14,0	542,0	 
environ thermal	thermal environment	thermal environment	2	7,86819688189	50,7842088087	166,80374225	3,0	69,0	 
control group	control group	control group	2	15,7363937638	90,6607806479	194,353352159	6,0	353,0	 
domain	domain	domain|&|domains	1	46,6642274856	210,783703509	200,431388556	41,0	2138,0	 
approach cycl life	life cycle approach	life cycle approach	3	7,94284723159	47,1336161053	203,476497812	4,0	222,0	 
ei	EIS	EIS	1	5,95713542369	39,4793837021	193,616441661	4,0	174,0	 
current gap knowledg	Gaps in current knowledge	Gaps in current knowledge|&|current knowledge gaps|&|current knowledge and gaps	4	7,94284723159	47,1336161053	204,957687202	4,0	257,0	 
energi system	energy systems	energy systems|&|energy system|&|system energy|&|Energy Systems|&|systems energy	2	64,5192144315	263,705556186	322,541629159	36,0	1770,0	 
czech republ	Czech Republic	Czech Republic	2	34,6200662803	175,456916092	236,827511307	12,0	631,0	 
plant	plant	plant|&|plants|&|Plant|&|Plants|&|PLANT	1	160,84265644	521,589039572	344,603627434	204,0	11577,0	 
ec	EC	EC	1	10,9214149434	67,9506174298	188,458807252	6,0	381,0	 
indigen innov	indigenous innovation	indigenous innovation	2	7,86819688189	50,7842088087	289,512997827	3,0	128,0	 
inform process scienc studi	information processing science studies	information processing science studies	4	5,95713542369	37,0639731435	203,952625082	3,0	142,0	 
aspect key	key aspects	key aspects	2	15,7363937638	84,2802220493	272,035170496	9,0	437,0	 
absorpt	absorption	absorption|&|Absorption	1	34,7499566382	160,278612335	453,742743671	50,0	2482,0	 
environment improv	environmental improvement	environmental improvement|&|environmental improvements	2	14,1627543874	77,5203320494	183,295021717	8,0	507,0	 
environment issu	environmental issues	environmental issues|&|Environmental issues	2	59,7982963024	242,569934922	434,48624569	33,0	1884,0	 
respons time	response times	response times|&|response time|&|Response Time	2	11,0154756347	63,4625464536	259,379229194	8,0	405,0	 
concentr particl	particle concentrations	particle concentrations|&|particle concentration|&|Particle concentrations	2	11,0154756347	67,9289374726	252,89538151	4,0	216,0	 
mode transport	transportation modes	transportation modes|&|transportation mode|&|transport mode|&|mode of transportation|&|mode of transport|&|modes of transportation	2	34,6200662803	165,497343677	281,207185598	18,0	921,0	 
coba	CobA	CobA	1	5,95713542369	43,6085553253	158,900432237	2,0	101,0	 
internet	Internet	Internet|&|internet|&|INTERNET	1	83,3998959317	321,477760933	452,153464848	102,0	3807,0	 
futur gener	future generations	future generations	2	12,589115011	68,9069618216	261,211123904	8,0	412,0	 
sensor	sensor	sensor|&|sensors|&|Sensor	1	35,7428125422	163,686000768	332,638340757	57,0	2497,0	 
factori	factory	factory|&|factories	1	15,8856944632	86,5546033896	165,862815888	14,0	1019,0	 
develop process product	product development process	product development process|&|product and process development	3	13,8999826553	82,4838281843	155,138214715	4,0	382,0	 
develop project	development projects	development projects|&|development project|&|project development|&|Development Project|&|development of the project|&|project for development	2	26,7518693984	129,610837111	228,209017479	15,0	881,0	 
ferrou	ferrous	ferrous|&|FERROUS	1	12,9071267513	75,0718856007	185,431380626	12,0	453,0	 
largest share	largest share	largest share	2	6,29455750551	38,8165356986	155,478281283	4,0	297,0	 
theori	theory	theory|&|theories|&|Theory	1	98,2927344909	344,287778849	321,435941138	142,0	6247,0	 
abrad electrod techniqu	abrading electrode technique	abrading electrode technique	3	5,95713542369	37,0639731435	172,515904956	3,0	124,0	 
manag scenario wast	waste management scenarios	waste management scenarios|&|Waste Management Scenarios|&|Scenarios of Waste Management	3	9,92855903949	56,7015262081	174,158211968	5,0	337,0	 
institut	institutions	institutions|&|Institute|&|institution|&|institute|&|institutes|&|Institution|&|Institutions	1	78,435616412	296,441984512	235,760026549	86,0	4830,0	 
landfil	landfill	landfill|&|landfills|&|Landfill	1	46,6642274856	206,72338482	277,857921011	47,0	2731,0	 
carbon perform	carbon performance	carbon performance	2	6,29455750551	43,1795904865	168,89926254	2,0	137,0	 
care	care	care|&|Care	1	26,8071094066	134,512848458	390,897914802	43,0	2266,0	 
diagram	diagrams	diagrams|&|diagram	1	19,857118079	104,070134853	169,434736012	19,0	1081,0	 
nanomateri	nanomaterials	nanomaterials	1	20,8499739829	110,619268082	170,721801856	18,0	580,0	 
assess cycl life	life cycle assessment	life cycle assessment|&|Life Cycle Assessment|&|Life cycle assessment|&|life cycle assessments|&|Life Cycle Assessments	3	687,056285533	1072,83038601	7010,59603459	352,0	15925,0	 
explor scenario	explorative scenarios	explorative scenarios	2	6,29455750551	38,8165356986	328,592428082	4,0	122,0	 
meta-analysi	meta-analysis	meta-analysis|&|Meta-Analysis|&|Meta-analysis	1	22,8356857908	113,470862198	182,030779449	23,0	891,0	 
swine	swine	swine	1	5,95713542369	43,6085553253	154,297526288	2,0	85,0	 
law second thermodynam	second law of thermodynamics	second law of thermodynamics	4	5,95713542369	37,0639731435	160,31373034	3,0	187,0	 
analysi energi	energy analysis	energy analysis|&|Energy analysis	2	22,0309512693	109,890984158	269,791558838	18,0	571,0	 
concern grow	growing concern	growing concern	2	6,29455750551	38,8165356986	168,997332512	4,0	243,0	 
develop indic sustain	sustainable development indicators	sustainable development indicators	3	5,95713542369	37,0639731435	229,423717902	3,0	116,0	 
view	view	view|&|views|&|View	1	97,299878587	338,694826457	301,091647023	117,0	6752,0	 
lambda	lambda	lambda	1	7,94284723159	48,1942355575	155,659659142	7,0	370,0	 
oper	operation	operation|&|operations|&|operators|&|operator|&|Operation|&|Operations|&|OPERATIONS|&|Operator	1	191,621189462	563,052706972	224,014618702	209,0	11660,0	 
3,5-pyrazol acid dicarboxyl	3,5-pyrazole dicarboxylic acid	3,5-pyrazole dicarboxylic acid	3	5,95713542369	37,0639731435	166,649871012	3,0	97,0	 
network perform	network performance	network performance|&|performance network	2	9,44183625827	56,1179186744	232,712366575	5,0	269,0	 
salin water	saline water	saline water	2	6,29455750551	43,1795904865	198,23462791	2,0	96,0	 
center dot	center dot	center dot|&|dot center	2	11,0154756347	63,4625464536	347,105046984	12,0	643,0	 
question	question	question|&|questions|&|Questions	1	86,3784636436	314,770848285	290,924885306	100,0	5812,0	 
luminesc	luminescence	luminescence	1	6,94999132764	44,5084352394	201,820702061	9,0	398,0	 
hazard health	health hazard	health hazard	2	7,86819688189	46,7649322286	165,762067324	5,0	339,0	 
contribut signific	significant contributions	significant contributions|&|significant contribution	2	9,44183625827	54,3964683888	199,071804082	6,0	354,0	 
xp	XPS	XPS	1	8,93570313554	53,0253181185	232,040339533	8,0	416,0	 
fiji	Fiji	Fiji	1	4,96427951974	34,3276206389	165,181576301	3,0	160,0	 
polici public	public policy	public policy|&|public policies	2	17,3100331402	90,8844502365	207,463450292	10,0	580,0	 
